Country,Clicks,Impressions,CTR,Position
United States,21.0,5996.0,0.0034999999999999996,33.76
Egypt,1.0,22.0,0.0455,36.55
Australia,1.0,7.0,0.1429,36.86
Russia,0.0,62.0,0.0,33.4
Vietnam,0.0,58.0,0.0,32.47
Indonesia,0.0,57.0,0.0,32.4
India,0.0,55.0,0.0,37.2
Philippines,0.0,48.0,0.0,30.71
Brazil,0.0,44.0,0.0,27.98
Mexico,0.0,36.0,0.0,34.42
Ukraine,0.0,35.0,0.0,36.14
Thailand,0.0,30.0,0.0,31.33
United Kingdom,0.0,28.0,0.0,35.96
Argentina,0.0,27.0,0.0,28.48
Germany,0.0,23.0,0.0,23.09
Pakistan,0.0,23.0,0.0,38.74
Canada,0.0,17.0,0.0,14.94
United Arab Emirates,0.0,15.0,0.0,36.6
Malaysia,0.0,14.0,0.0,31.21
Algeria,0.0,14.0,0.0,36.21
Poland,0.0,14.0,0.0,41.07
Taiwan,0.0,12.0,0.0,33.08
Spain,0.0,11.0,0.0,14.91
Hungary,0.0,11.0,0.0,32.27
Colombia,0.0,10.0,0.0,30.0
Romania,0.0,9.0,0.0,37.11
France,0.0,9.0,0.0,38.33
Saudi Arabia,0.0,9.0,0.0,40.78
Bulgaria,0.0,8.0,0.0,24.88
Morocco,0.0,8.0,0.0,30.38
Bangladesh,0.0,8.0,0.0,39.88
Bolivia,0.0,7.0,0.0,23.0
Unknown Region,0.0,7.0,0.0,25.14
Japan,0.0,7.0,0.0,28.0
Netherlands,0.0,6.0,0.0,21.67
Uruguay,0.0,6.0,0.0,23.17
Venezuela,0.0,6.0,0.0,27.0
South Africa,0.0,6.0,0.0,32.0
Chile,0.0,6.0,0.0,32.17
Peru,0.0,5.0,0.0,24.6
Turkey,0.0,5.0,0.0,31.0
Ghana,0.0,5.0,0.0,38.0
Portugal,0.0,5.0,0.0,42.0
Czechia,0.0,5.0,0.0,43.8
Trinidad & Tobago,0.0,5.0,0.0,46.4
Sri Lanka,0.0,4.0,0.0,20.5
Denmark,0.0,4.0,0.0,22.0
Guatemala,0.0,4.0,0.0,25.75
Singapore,0.0,4.0,0.0,28.75
Kazakhstan,0.0,4.0,0.0,34.25
Belize,0.0,4.0,0.0,38.25
Italy,0.0,4.0,0.0,41.25
Lithuania,0.0,3.0,0.0,13.33
Georgia,0.0,3.0,0.0,21.0
South Korea,0.0,3.0,0.0,24.67
Macedonia,0.0,3.0,0.0,26.33
Dominican Republic,0.0,3.0,0.0,28.0
Bosnia & Herzegovina,0.0,3.0,0.0,30.0
Latvia,0.0,3.0,0.0,31.67
Nepal,0.0,3.0,0.0,34.0
Iran,0.0,3.0,0.0,35.33
Azerbaijan,0.0,3.0,0.0,39.33
Laos,0.0,3.0,0.0,40.0
Armenia,0.0,3.0,0.0,42.0
Tajikistan,0.0,2.0,0.0,7.0
Israel,0.0,2.0,0.0,19.5
Syria,0.0,2.0,0.0,19.5
Myanmar (Burma),0.0,2.0,0.0,20.0
Slovakia,0.0,2.0,0.0,21.0
Ecuador,0.0,2.0,0.0,25.5
Paraguay,0.0,2.0,0.0,26.0
Ethiopia,0.0,2.0,0.0,26.5
Iraq,0.0,2.0,0.0,27.5
Croatia,0.0,2.0,0.0,33.5
Panama,0.0,2.0,0.0,36.0
Kenya,0.0,2.0,0.0,46.5
Moldova,0.0,2.0,0.0,46.5
Tunisia,0.0,2.0,0.0,50.0
Macau,0.0,2.0,0.0,57.5
Senegal,0.0,1.0,0.0,1.0
Sweden,0.0,1.0,0.0,5.0
Mali,0.0,1.0,0.0,8.0
Jordan,0.0,1.0,0.0,9.0
Cyprus,0.0,1.0,0.0,11.0
Nigeria,0.0,1.0,0.0,12.0
Côte d’Ivoire,0.0,1.0,0.0,14.0
Guadeloupe,0.0,1.0,0.0,18.0
Jamaica,0.0,1.0,0.0,21.0
Belarus,0.0,1.0,0.0,23.0
Malta,0.0,1.0,0.0,24.0
Tanzania,0.0,1.0,0.0,24.0
Switzerland,0.0,1.0,0.0,26.0
Cambodia,0.0,1.0,0.0,28.0
Burundi,0.0,1.0,0.0,30.0
Afghanistan,0.0,1.0,0.0,32.0
Réunion,0.0,1.0,0.0,35.0
El Salvador,0.0,1.0,0.0,35.0
Palestine,0.0,1.0,0.0,36.0
Puerto Rico,0.0,1.0,0.0,37.0
Cuba,0.0,1.0,0.0,39.0
Martinique,0.0,1.0,0.0,39.0
New Zealand,0.0,1.0,0.0,43.0
U.S. Virgin Islands,0.0,1.0,0.0,46.0
Slovenia,0.0,1.0,0.0,48.0
Serbia,0.0,1.0,0.0,49.0
Uganda,0.0,1.0,0.0,51.0
Togo,0.0,1.0,0.0,57.0
Mongolia,0.0,1.0,0.0,58.0
Zambia,0.0,1.0,0.0,66.0
Botswana,0.0,1.0,0.0,76.0
Costa Rica,0.0,1.0,0.0,78.0
Dominica,0.0,1.0,0.0,83.0
